month,oil_1m_ret,oil_3m_ret,vix_level,vix_1m_chg,gs10_level,gs10_1m_chg,hy_spread,hy_spread_chg,gdp_growth,unrate,unrate_chg
2004-01-31,,,16.101,,4.15,,3.9400000000000004,,2.3,5.7,
2004-02-29,0.010922088082345072,,15.99842105263158,-0.10257894736841955,4.08,-0.07000000000000028,4.258571428571429,0.3185714285714285,2.3,5.6,-0.10000000000000053
2004-03-31,0.059293155807492726,,17.687391304347827,1.6889702517162473,3.83,-0.25,4.401739130434782,0.14316770186335326,2.3,5.8,0.20000000000000018
2004-04-30,0.00023667238624924813,0.07111629262605645,15.69857142857143,-1.9888198757763966,4.35,0.5199999999999996,3.9752380952380952,-0.4265010351966869,3.1,5.6,-0.20000000000000018
2004-05-31,0.09591836734693882,0.16117357854964265,17.705000000000002,2.0064285714285717,4.72,0.3700000000000001,4.250952380952381,0.27571428571428536,3.1,5.6,0.0
2004-06-30,-0.05586001004995411,0.03494524133539567,15.342727272727274,-2.362272727272728,4.73,0.010000000000000675,4.069090909090909,-0.18186147186147128,3.1,5.6,0.0
2004-07-31,0.07239552678045924,0.10960803368966632,15.502380952380953,0.1596536796536796,4.5,-0.23000000000000043,4.0117391304347825,-0.05735177865612684,3.8,5.5,-0.09999999999999964
2004-08-31,0.10115937382560447,0.11491450821059779,16.68409090909091,1.1817099567099554,4.28,-0.21999999999999975,4.081363636363637,0.0696245059288545,3.8,5.4,-0.09999999999999964
2004-09-30,0.022994639259937166,0.20803225927642033,14.08095238095238,-2.603138528138528,4.13,-0.15000000000000036,3.8736363636363635,-0.20772727272727343,3.8,5.4,0.0
2004-10-31,0.1598921888767948,0.30659551112875727,14.973809523809523,0.8928571428571423,4.1,-0.03000000000000025,3.727272727272727,-0.14636363636363647,4.1,5.5,0.09999999999999964
2004-11-30,-0.0903046769566267,0.07941125856641063,13.577619047619047,-1.3961904761904762,4.19,0.09000000000000075,3.2895454545454546,-0.4377272727272725,4.1,5.4,-0.09999999999999964
2004-12-31,-0.10975007098302414,-0.060654123257139925,12.459545454545456,-1.118073593073591,4.23,0.040000000000000036,3.103181818181818,-0.1863636363636365,4.1,5.4,0.0
2005-01-31,0.08545809698280626,-0.12093503382816895,13.437999999999999,0.978454545454543,4.22,-0.010000000000000675,3.2042857142857146,0.10110389610389658,4.5,5.3,-0.10000000000000053
2005-02-28,0.028010918043876565,-0.0066032439616857674,11.708947368421052,-1.7290526315789467,4.17,-0.04999999999999982,3.0515,-0.15278571428571475,4.5,5.4,0.10000000000000053
2005-03-31,0.12539985074226379,0.2557918001833952,13.126363636363635,1.417416267942583,4.5,0.33000000000000007,2.975,-0.07649999999999979,4.5,5.2,-0.20000000000000018
2005-04-30,-0.022289010561904687,0.1311366573232191,14.459047619047618,1.3326839826839834,4.34,-0.16000000000000014,3.7813636363636363,0.8063636363636362,2.0,5.2,0.0
2005-05-31,-0.05936758466959091,0.03499271006895355,13.967619047619047,-0.4914285714285711,4.14,-0.20000000000000018,4.227727272727273,0.4463636363636363,2.0,5.1,-0.10000000000000053
2005-06-30,0.1308040317557666,0.039962755114880455,11.868636363636364,-2.0989826839826833,4.0,-0.13999999999999968,3.902727272727273,-0.32499999999999973,2.0,5.0,-0.09999999999999964
2005-07-31,0.04690542448074231,0.11356286402531102,11.049,-0.8196363636363646,4.18,0.17999999999999972,3.494090909090909,-0.4086363636363637,3.2,5.0,0.0
